Students age,Gender,Relationship status,Department,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
18-20 years,Male,Single,Math,Others,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Business,Govt. Service,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Sometimes,No,No,Business,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,CSE,Private,M.Sc/M.A.,M.Sc/M.A.,Private Job,Business,41000-55000TK,1,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
18-20 years,Female,Single,Statistics ,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,41000-55000TK,1,Died-one of them or both,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Botany ,Others,College,College,Govt. Service,Housewife,">60,000",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,11-14 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Others,Yes,Sometimes,3.50 - 3.74
21-23 years,Female,Single,Bangla ,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Govt. Service,"56000-60,000",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Male,Single,AIS,Public,Primary School,Primary School,Business,Housewife,"<25,000Tk",1,Happily Married,Rural,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Tution,Yes,Sometimes,3.25 - 3.49
18-20 years,Female,Single,BBA,Private,Secondary School,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 5.00,GPA 3.00 - 3.99,No,No,University Hall,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,Yes,No,Business,No,Never,3.00 - 3.24
24-26 years,Male,Married,Social work,Others,College,Secondary School,Retired,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Others,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,CSE,Public,Secondary School,Primary School,Business,Housewife,"<25,000Tk",1,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,No,Sometimes,2.75 - 2.99
21-23 years,Female,Single,Textile,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,With family,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Female,In a love relationship,English,Others,B.A./B.Sc./Hons/Degree,College,Business,Housewife,">60,000",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Male,Single,English,Others,College,Primary School,Retired,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,Yes,No,University Hall,11-14 Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.75 - 4.00
24-26 years,Male,In a love relationship,English,Public,Secondary School,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,Yes,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,Yes,Sometimes,3.25 - 3.49
18-20 years,Female,Single,English,Public,M.Sc/M.A.,M.Sc/M.A.,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Urban,GPA 5.00,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Not applicable,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
24-26 years,Male,In a love relationship,Cse,Private,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Govt. Service,Govt. Service,41000-55000TK,3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.50 - 3.74
24-26 years,Male,Single,EEE,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,2.75 - 2.99
21-23 years,Female,In a love relationship,CSE,Public,Secondary School,Primary School,Private Job,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Never,Yes,Yes,Tution,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Private Job,Housewife,"26,000-40,000TK",3 or above,Happily Married,Rural,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Male,Single,Pharmacy ,Private,Primary School,Primary School,Business,Housewife,"<25,000Tk",2,Happily Married,Rural,Rural,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,6-10Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,No,Yes,Tution,No,Sometimes,2.75 - 2.99
21-23 years,Male,In a love relationship,History,Others,College,B.A./B.Sc./Hons/Degree,Business,Housewife,"<25,000Tk",No Siblings,Died-one of them or both,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,With family,Less than 1 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,No,Tution,No,Always,3.25 - 3.49
21-23 years,Male,Single,Pharmacy ,Public,M.Sc/M.A.,M.Sc/M.A.,Private Job,Private Job,">60,000",2,Happily Married,Rural,Country Town,GPA 4.00 - 4.99,GPA 3.00 - 3.99,No,No,Rental,Less than 1 Hour,No,Yes,60%-79% classes,Alone,Close date to exam,Sometimes,No,No,Tution,No,Sometimes,2.50 - 2.74
24-26 years,Male,Single,Pharmacy ,Public,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,With family,6-10Hour,No,No,60%-79% classes,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,Yes,Sometimes,3.00 - 3.24
21-23 years,Male,In a love relationship,Pharmacy ,Public,College,Primary School,Private Job,Housewife,"26,000-40,000TK",No Siblings,Happily Married,Urban,Urban,GPA 4.00 - 4.99,Less than 3.00,No,No,With family,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,Yes,No,Not Applicable,No,Never,2.50 - 2.74
21-23 years,Female,Single,History,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Private Job,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Tution,No,Sometimes,3.00 - 3.24
18-20 years,Female,Single,Social work,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Always,3.50 - 3.74
21-23 years,Male,Single,BBA,Private,Secondary School,College,Business,Housewife,"<25,000Tk",No Siblings,Died-one of them or both,Rural,Rural,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,More than 15 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
24-26 years,Female,Single,History,Others,Secondary School,College,Business,Housewife,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,No,Yes,60%-79% classes,Alone,Never,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Male,Single,History,Others,College,Secondary School,Private Job,Business,"56000-60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,60%-79% classes,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
24-26 years,Male,Single,Bangla,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"56000-60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,11-14 Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Married,Economics ,Others,College,Secondary School,Business,Housewife,"26,000-40,000TK",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,Less than 60% classes,Alone,Close date to exam,Never,Yes,No,Tution,Yes,Always,2.50 - 2.74
24-26 years,Male,Single,Human Resource Management ,Public,Primary School,Primary School,Business,Housewife,"<25,000Tk",No Siblings,Happily Married,Rural,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,Yes,No,60%-79% classes,Alone,Regular study during the semester,Always,Yes,Yes,Tution,No,Sometimes,Less than 2.50
18-20 years,Female,Single,Human Resource Management ,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,Rental,2-5 Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Sometimes,Yes,Yes,Business,Yes,Sometimes,3.25 - 3.49
18-20 years,Male,Single,Statistics ,Others,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"26,000-40,000TK",3 or above,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,Rental,11-14 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,2.75 - 2.99
24-26 years,Male,Single,EEE,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Govt. Service,Business,">60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Business,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,Political Science ,Others,College,College,Private Job,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,With family,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,2.75 - 2.99
18-20 years,Female,Single,Social Science ,Others,College,Secondary School,Private Job,Housewife,">60,000",2,Happily Married,Rural,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Female,In a love relationship,BBA,Others,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Govt. Service,"26,000-40,000TK",No Siblings,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,Rental,More than 15 Hour,No,No,60%-79% classes,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,In a love relationship,Agriculture ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Retired,Housewife,41000-55000TK,2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,Rental,6-10Hour,No,No,60%-79% classes,Alone,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Always,3.00 - 3.24
24-26 years,Male,Single,BBA,Public,Primary School,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",2,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,6-10Hour,Yes,No,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,Civil Engineering ,Private,M.Sc/M.A.,Secondary School,Private Job,Housewife,"<25,000Tk",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,Rental,2-5 Hour,Yes,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Male,Single,CSE,Private,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Business,"26,000-40,000TK",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 4.00 - 4.99,No,No,Rental,11-15 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Civil EnABotanygineering ,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Business,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Not applicable,Never,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
21-23 years,Female,Single,Film and Media,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Private Job,"26,000-40,000TK",1,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,2-5 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
18-20 years,Female,Single,CSE,Private,B.A./B.Sc./Hons/Degree,College,Govt. Service,Housewife,">60,000",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,No,No,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,2.50 - 2.74
18-20 years,Male,Single,Political science ,Others,Secondary School,Secondary School,Business,Housewife,"<25,000Tk",2,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,No,Rental,6-10Hour,No,No,More than 80%class,Alone,Regular study during the semester,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.50 - 3.74
Above 26,Female,Single,Fisheries ,Public,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Govt. Service,Housewife,"56000-60,000",3 or above,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Always,Yes,Yes,Not Applicable,No,Never,3.50 - 3.74
18-20 years,Female,Single,Fisheries ,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Private Job,Housewife,"<25,000Tk",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Always,No,No,Not Applicable,No,Never,3.00 - 3.24
18-20 years,Male,Single,BBA,Private,B.A./B.Sc./Hons/Degree,College,Business,Housewife,"56000-60,000",1,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,With family,Less than 1 Hour,No,No,60%-79% classes,Alone,Close date to exam,Never,No,No,Not Applicable,No,Sometimes,2.50 - 2.74
21-23 years,Female,Single,Fisheries ,Public,B.A./B.Sc./Hons/Degree,College,Retired,Housewife,">60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,University Hall,Less than 1 Hour,No,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
24-26 years,Female,Single,BBA,Others,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Retired,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,Less than 1 Hour,No,No,More than 80%class,Alone,Regular study during the semester,Never,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
18-20 years,Female,Single,Bangla,Others,B.A./B.Sc./Hons/Degree,College,Private Job,Business,"26,000-40,000TK",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,Rental,Less than 1 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Never,No,Yes,Not Applicable,No,Sometimes,Less than 2.50
18-20 years,Female,Single,Bangla,Public,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Housewife,"56000-60,000",2,Happily Married,Urban,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,2-5 Hour,No,No,60%-79% classes,Not applicable,Close date to exam,Sometimes,No,No,Not Applicable,No,Sometimes,Less than 2.50
24-26 years,Male,In a love relationship,Civil Engineering ,Public,B.A./B.Sc./Hons/Degree,College,Business,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,2-5 Hour,Yes,Yes,More than 80%class,Group study,Regular study during the semester,Sometimes,No,Yes,Tution,No,Sometimes,3.25 - 3.49
21-23 years,Male,In a love relationship,Hostory,Others,M.Sc/M.A.,M.Sc/M.A.,Govt. Service,Govt. Service,"56000-60,000",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Group study,Close date to exam,Sometimes,Yes,Yes,Tution,No,Always,3.50 - 3.74
24-26 years,Male,Single,BBA,Private,Secondary School,College,Retired,Housewife,"26,000-40,000TK",3 or above,Happily Married,Urban,Country Town,GPA 4.00 - 4.99,GPA 4.00 - 4.99,No,No,University Hall,Less than 1 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,No,Tution,No,Sometimes,3.00 - 3.24
21-23 years,Male,In a love relationship,History,Private,Secondary School,Primary School,Business,Housewife,"<25,000Tk",2,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,No,More than 80%class,Not applicable,Close date to exam,Never,No,Yes,Tution,No,Sometimes,3.75 - 4.00
18-20 years,Female,Single,Math,Public,College,College,Business,Housewife,"<25,000Tk",3 or above,Happily Married,Rural,Country Town,GPA 5.00,GPA 5.00,No,No,University Hall,11-14 Hour,No,Yes,60%-79% classes,Group study,Regular study during the semester,Always,No,No,Tution,No,Never,3.25 - 3.49
21-23 years,Male,Single,Botany,Others,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Retired,Housewife,">60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,Yes,With family,11-14 Hour,No,No,More than 80%class,Group study,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Always,3.25 - 3.49
21-23 years,Female,Single,Statistics ,Others,B.A./B.Sc./Hons/Degree,B.A./B.Sc./Hons/Degree,Business,Private Job,"<25,000Tk",1,Happily Married,Urban,Urban,GPA 5.00,GPA 5.00,No,No,University Hall,Less than 1 Hour,No,No,More than 80%class,Alone,Never,Never,No,No,Not Applicable,No,Sometimes,2.75 - 2.99
18-20 years,Female,In a love relationship,Botany ,Others,M.Sc/M.A.,Secondary School,Govt. Service,Housewife,"26,000-40,000TK",1,Happily Married,Urban,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,Yes,Yes,More than 80%class,Alone,Close date to exam,Always,Yes,Yes,Not Applicable,No,Sometimes,3.25 - 3.49
21-23 years,Male,Single,BBA,Public,College,College,Private Job,Housewife,"26,000-40,000TK",1,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,6-10Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Single,Bangla,Public,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,">60,000",2,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,No,University Hall,2-5 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.00 - 3.24
21-23 years,Female,Married,BBA,Private,M.Sc/M.A.,B.A./B.Sc./Hons/Degree,Govt. Service,Housewife,41000-55000TK,1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,No,No,With family,More than 15 Hour,Yes,Yes,More than 80%class,Alone,Regular study during the semester,Sometimes,No,Yes,Not Applicable,No,Sometimes,3.75 - 4.00
21-23 years,Female,Single,Social work,Others,B.A./B.Sc./Hons/Degree,M.Sc/M.A.,Business,Govt. Service,"56000-60,000",No Siblings,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,Less than 1 Hour,Yes,Yes,More than 80%class,Not applicable,Close date to exam,Always,No,No,Not Applicable,No,Sometimes,3.50 - 3.74
21-23 years,Male,Single,CSE,Private,College,College,Govt. Service,Housewife,"<25,000Tk",1,Happily Married,Country Town,Country Town,GPA 5.00,GPA 5.00,Yes,Yes,University Hall,6-10Hour,No,Yes,More than 80%class,Group study,Close date to exam,Sometimes,Yes,No,Not Applicable,No,Sometimes,3.00 - 3.24
18-20 years,Male,In a love relationship,Textile,Private,College,Secondary School,Govt. Service,Housewife,">60,000",2,Happily Married,Rural,Urban,GPA 4.00 - 4.99,GPA 5.00,No,No,Rental,Less than 1 Hour,No,Yes,More than 80%class,Alone,Close date to exam,Sometimes,Yes,Yes,Not Applicable,No,Sometimes,2.75 - 2.99
